HomePlanet,CryoSleep,Destination,Age,VIP,RoomService,FoodCourt,ShoppingMall,Spa,VRDeck,Name,deck,deck_num,deck_side,group,group_number,RoomService_cat,FoodCourt_cat,ShoppingMall_cat,Spa_cat,VRDeck_cat
Europa,False,55 Cancri e,25.0,False,0.0,7.42,0.0,6.46,6.42,Shail Crelaxle,A,101,S,8363,1,False,True,False,True,True
Europa,False,TRAPPIST-1e,36.0,False,0.0,7.87,7.41,7.94,0.0,Dyonif Muspereed,C,191,P,6181,1,False,True,True,True,False
Mars,True,55 Cancri e,34.0,False,0.0,0.0,0.0,0.0,0.0,Oaters Kité,F,862,P,4194,1,False,False,False,False,False
Earth,True,55 Cancri e,37.0,False,0.0,0.0,0.0,0.0,0.0,Raceky Masquez,G,710,S,4367,1,False,False,False,False,False
Earth,True,PSO J318.5-22,22.0,False,0.0,0.0,0.0,0.0,0.0,Wen Wheelez,G,1330,P,8200,1,False,False,False,False,False
Earth,False,TRAPPIST-1e,46.0,False,0.0,1.39,6.73,0.0,3.47,Kylen Merce,F,945,S,4977,1,False,True,True,False,True
Earth,False,55 Cancri e,15.0,False,0.0,4.08,6.57,0.0,1.1,Hanry Strongers,F,154,S,0820,1,False,True,True,False,True
Earth,True,55 Cancri e,0.0,False,0.0,0.0,0.0,0.0,0.0,Lan Hersons,G,1219,P,7588,1,False,False,False,False,False
Europa,True,55 Cancri e,43.0,False,0.0,0.0,0.0,0.0,0.0,Nasl Prighty,B,120,S,3282,1,False,False,False,False,False
Europa,False,TRAPPIST-1e,42.0,False,3.71,7.56,0.0,7.55,3.76,Alinon Sernator,B,97,S,2544,2,True,True,False,True,True
Earth,True,PSO J318.5-22,7.0,False,0.0,0.0,0.0,0.0,0.0,Antony Singtons,G,991,S,6092,2,False,False,False,False,False
Europa,False,TRAPPIST-1e,46.0,False,0.0,6.5,0.0,0.69,7.69,Mesonon Bleling,D,215,S,7022,2,False,True,False,True,True
Earth,False,TRAPPIST-1e,74.0,False,6.35,0.0,0.0,5.62,0.0,Jorgie Hamberterry,G,490,S,3119,1,True,False,False,True,False
Earth,True,TRAPPIST-1e,15.0,False,0.0,0.0,0.0,0.0,0.0,Nadie Llonovancis,G,154,S,1001,1,False,False,False,False,False
Mars,False,TRAPPIST-1e,73.0,False,6.68,0.0,5.25,4.22,0.0,Pikes Nan,D,123,S,3831,1,True,False,True,True,False
Earth,False,TRAPPIST-1e,33.0,False,6.95,3.91,0.0,2.2,0.0,Ronard Arner,F,1024,P,5025,1,True,True,False,True,False
Earth,False,TRAPPIST-1e,48.0,False,4.42,4.7,0.0,6.54,2.08,Brank Owerson,F,1032,S,5390,3,True,True,False,True,True
Earth,True,TRAPPIST-1e,20.0,False,0.0,0.0,0.0,0.0,0.0,Tonyn Sweeton,G,146,S,0976,1,False,False,False,False,False
Earth,False,TRAPPIST-1e,18.0,False,6.57,2.48,0.0,4.42,0.0,Royce Potters,F,1461,S,7650,4,True,True,False,True,False
Earth,True,PSO J318.5-22,4.0,False,0.0,0.0,0.0,0.0,0.0,Cherry Fisheparks,G,999,P,6174,2,False,False,False,False,False
Europa,False,55 Cancri e,34.0,False,0.0,8.05,0.0,4.72,2.71,Pharmus Myling,C,329,S,8862,1,False,True,False,True,True
Earth,False,PSO J318.5-22,39.0,False,0.0,0.0,0.0,0.0,6.81,Wandy Summington,E,188,S,2753,1,False,False,False,False,True
Europa,True,55 Cancri e,26.0,False,0.0,0.0,0.0,0.0,0.0,Arid Couresteer,B,244,P,7435,1,False,False,False,False,False
Europa,True,55 Cancri e,17.0,False,0.0,0.0,0.0,0.0,0.0,Sadaton Craleve,B,213,P,6263,1,False,False,False,False,False
Earth,False,TRAPPIST-1e,9.0,False,0.0,0.0,0.0,0.0,0.0,Chadie Morelly,G,1313,S,8157,6,False,False,False,False,False
Earth,True,PSO J318.5-22,19.0,False,0.0,0.0,0.0,0.0,0.0,Coracy Gordanieves,G,30,S,0171,1,False,False,False,False,False
